sound_id,audio_path,onomatopoeia_katakana,confidence_score,acceptance_score,dsp_target_0,dsp_target_1,dsp_target_2,dsp_target_3,dsp_target_4,dsp_target_5,dsp_target_6,dsp_target_7,dsp_target_8,dsp_target_9
a1_cherry1_043,a1/cherry1/043.wav,コッ,5,5.0,-0.04327861467997233,-0.8781997362772624,-0.9991345637547876,-0.995924600838525,1.0,-0.5028338410968904,-0.9885351309708758,0.7678004535147392,-0.38390022675736957,-0.41950113378684806
a1_cherry1_048,a1/cherry1/048.wav,カッ,5,5.0,-0.08841387430826823,-0.7872703870137532,-0.9992011897684335,-0.9948569798636439,1.0,-0.4042582630557431,-0.9520033396409909,1.0,-0.4419501133786848,-0.3034013605442178
a1_cherry1_049,a1/cherry1/049.wav,コッ,5,5.0,-0.10782917340596516,-0.7485942840576172,-0.9986255247954289,-0.9955152792172798,1.0,-0.5526728983106147,-0.9814395221219866,1.0,-0.4419501133786848,-0.3034013605442178
a1_cherry1_053,a1/cherry1/053.wav,コッ,5,5.0,-0.06917826334635417,-0.7934071222941081,-0.999203906462676,-0.9957379800887204,1.0,-0.29443716913702633,-0.9697460950145524,0.7678004535147392,-0.38390022675736957,-0.41950113378684806
a1_cherry1_055,a1/cherry1/055.wav,コッ,5,5.0,-0.08921329180399577,-0.7925661404927571,-0.999260808083006,-0.9957493297623664,1.0,-0.3783599051935569,-0.9756984423813008,1.0,-0.4419501133786848,-0.41950113378684806
a1_cherry1_060,a1/cherry1/060.wav,カッ,5,5.0,-0.1278979778289795,-0.6686164538065593,-0.9985503648660173,-0.9952608880041552,0.7245879756785116,0.2138225253808117,-0.9605400368451972,1.0,-0.4419501133786848,-0.3034013605442178
a1_cherry1_064,a1/cherry1/064.wav,カッ,5,5.0,-0.12831560770670572,-0.7166115442911785,-0.9992425352339006,-0.9954616281835065,0.8040541781373924,0.06792499749774206,-0.9288906911380366,1.0,-0.4419501133786848,-0.41950113378684806
a1_cherry1_065,a1/cherry1/065.wav,カッ,5,5.0,-0.13936161994934082,-0.6954601605733235,-0.9987918350664259,-0.9958435839486033,0.6536185132491346,0.30112246401222986,-0.9161089671960492,1.0,-0.4419501133786848,-0.41950113378684806
a1_cherry1_066,a1/cherry1/066.wav,カッ,5,5.0,-0.13892753918965658,-0.8210736910502117,-0.99923082102942,-0.9950173239624119,0.6919796920356522,0.2607325947224155,-0.9517556512407916,1.0,-0.4419501133786848,-0.41950113378684806
a1_cherry1_071,a1/cherry1/071.wav,カッ,5,5.0,-0.10978182156880696,-0.7676893870035808,-0.99945829007604,-0.9957194997533891,0.576659657502546,0.43542216860622673,-0.9346414585310239,1.0,-0.4419501133786848,-0.41950113378684806
a1_cherry1_077,a1/cherry1/077.wav,カッ,5,5.0,-0.1125179926554362,-0.7890661557515461,-0.9992023682949659,-0.9952730565132311,0.7096067296355004,0.24010098758638376,-0.9641236090203114,1.0,-0.4419501133786848,-0.41950113378684806
a1_cherry1_078,a1/cherry1/078.wav,カッ,5,5.0,-0.13310813903808594,-0.737413724263509,-0.9992309621530843,-0.9955210664227838,0.6596897036728997,0.28453259673265796,-0.9048094059954618,1.0,-0.4419501133786848,-0.41950113378684806
a1_cherry1_084,a1/cherry1/084.wav,カッ,5,5.0,-0.2070171038309733,-0.691487471262614,-0.998035626204293,-0.9927181618904031,-0.10673120244017198,1.0,-0.9022486841173569,1.0,-0.4419501133786848,-0.41950113378684806
a1_cherry1_086,a1/cherry1/086.wav,カッ,5,5.0,-0.14926695823669434,-0.7048398653666179,-0.9981098609133788,-0.9937864474513545,-0.015566685226345411,1.0,-0.8332286289801467,1.0,-0.4419501133786848,-0.3034013605442178
a1_cherry1_087,a1/cherry1/087.wav,カッ,5,5.0,-0.15128827095031738,-0.6947530110677083,-0.9979236589794391,-0.9942153041822132,0.019783266870187388,1.0,-0.8714302916671666,0.7678004535147392,-0.4419501133786848,-0.41950113378684806
