audio_path,onomatopoeia,confidence,avg_acceptability,num_evaluators,total_score
RWCP-SSD/drysrc/a1/cherry1/043.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/cherry1/048.wav,カッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/cherry1/049.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/cherry1/053.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/cherry1/055.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/cherry1/060.wav,カッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/cherry1/064.wav,カッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/cherry1/065.wav,カッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/cherry1/066.wav,カッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/cherry1/071.wav,カッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/cherry1/077.wav,カッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/cherry1/078.wav,カッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/cherry1/084.wav,カッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/cherry1/086.wav,カッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/cherry1/087.wav,カッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/cherry1/098.wav,カッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/magno3/020.wav,トッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/magno3/022.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/magno3/023.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/magno3/024.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/magno3/029.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/magno3/030.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/magno3/031.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/magno3/032.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/magno3/035.wav,コッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/magno3/042.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/001.wav,トンッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/002.wav,トンッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/003.wav,トンッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/004.wav,トンッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/005.wav,トンッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/007.wav,コン,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/008.wav,コン,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/011.wav,コン,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/012.wav,トンッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/013.wav,コン,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak1/015.wav,コン,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak2/012.wav,コン,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/000.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/001.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/002.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/003.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/004.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/005.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/007.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/008.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/018.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/teak3/025.wav,コッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/wood2/015.wav,カッ,5,5.00,5,10.00
RWCP-SSD/drysrc/a1/wood3/012.wav,コトッ,5,5.00,6,10.00
RWCP-SSD/drysrc/a1/wood3/031.wav,コロ,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/bowl/078.wav,カーン,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/candybwl/005.wav,ドーン,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/candybwl/023.wav,ドゥオーン,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/candybwl/029.wav,ドォーン,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/candybwl/031.wav,ドーン,5,5.00,6,10.00
RWCP-SSD/drysrc/a2/candybwl/037.wav,ゴーン,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/candybwl/038.wav,ゴーン,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/candybwl/044.wav,ドドーン,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/candybwl/045.wav,ドドーン,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/candybwl/088.wav,ドーン,5,5.00,6,10.00
RWCP-SSD/drysrc/a2/coffcan/076.wav,カン,5,5.00,6,10.00
RWCP-SSD/drysrc/a2/colacan/010.wav,タン,5,5.00,5,10.00
RWCP-SSD/drysrc/a2/colacan/011.wav,カン,5,5.00,6,10.00
RWCP-SSD/drysrc/a2/trashbox/023.wav,トン,5,5.00,5,10.00
RWCP-SSD/drysrc/a4/bottle2/051.wav,ピン,5,5.00,5,10.00
RWCP-SSD/drysrc/a4/china1/011.wav,キン,5,5.00,7,10.00
RWCP-SSD/drysrc/a4/china1/012.wav,キン,5,5.00,7,10.00
RWCP-SSD/drysrc/a4/china1/013.wav,キン,5,5.00,7,10.00
RWCP-SSD/drysrc/a4/china1/016.wav,キン,5,5.00,7,10.00
RWCP-SSD/drysrc/a4/china1/018.wav,キン,5,5.00,7,10.00
RWCP-SSD/drysrc/a4/china1/091.wav,コン,5,5.00,6,10.00
RWCP-SSD/drysrc/a4/china2/095.wav,コン,5,5.00,5,10.00
RWCP-SSD/drysrc/a4/china4/037.wav,チャララン,5,5.00,5,10.00
RWCP-SSD/drysrc/a4/cup1/017.wav,ティン,5,5.00,5,10.00
RWCP-SSD/drysrc/a4/cup1/019.wav,チン,5,5.00,6,10.00
RWCP-SSD/drysrc/a4/cup1/034.wav,ティン,5,5.00,6,10.00
RWCP-SSD/drysrc/a4/cup1/051.wav,チン,5,5.00,5,10.00
RWCP-SSD/drysrc/a4/cup1/090.wav,チン,5,5.00,5,10.00
RWCP-SSD/drysrc/b2/spray/032.wav,スィィィィィィィィィ,5,5.00,5,10.00
RWCP-SSD/drysrc/b2/spray/070.wav,シューッ,5,5.00,5,10.00
RWCP-SSD/drysrc/b3/sandpp1/062.wav,ジャッ,5,5.00,8,10.00
RWCP-SSD/drysrc/b3/sandpp2/015.wav,シャッ,5,5.00,5,10.00
RWCP-SSD/drysrc/b3/sandpp2/074.wav,シュッ,5,5.00,6,10.00
RWCP-SSD/drysrc/b3/sandpp2/075.wav,シュッ,5,5.00,6,10.00
RWCP-SSD/drysrc/b3/sandpp2/076.wav,シュッ,5,5.00,6,10.00
RWCP-SSD/drysrc/b4/sticks/054.wav,チッ,5,5.00,5,10.00
RWCP-SSD/drysrc/b5/clap2/032.wav,パッ,5,5.00,5,10.00
RWCP-SSD/drysrc/b5/clap2/065.wav,パッ,5,5.00,5,10.00
RWCP-SSD/drysrc/b5/clap2/067.wav,パッ,5,5.00,5,10.00
RWCP-SSD/drysrc/b5/claps1/041.wav,パッパッパン,5,5.00,5,10.00
RWCP-SSD/drysrc/b5/claps1/066.wav,パンパンパンパン,5,5.00,5,10.00
RWCP-SSD/drysrc/b5/claps1/091.wav,タッタッタッタッタッタッタッタッタッ,5,5.00,6,10.00
RWCP-SSD/drysrc/b5/claps1/097.wav,パッパッパッパッパッ,5,5.00,5,10.00
RWCP-SSD/drysrc/b5/claps2/068.wav,パッパッパッパッパッ,5,5.00,6,10.00
RWCP-SSD/drysrc/b5/claps2/078.wav,パパパパパ,5,5.00,6,10.00
RWCP-SSD/drysrc/b5/cracker/012.wav,タッ,5,5.00,5,10.00
RWCP-SSD/drysrc/b5/snap/049.wav,ザッ,5,5.00,5,10.00
RWCP-SSD/drysrc/c1/bell2/033.wav,チリンリリン,5,5.00,6,10.00
RWCP-SSD/drysrc/c3/cymbals/006.wav,カーン,5,5.00,5,10.00
RWCP-SSD/drysrc/c3/cymbals/044.wav,カーン,5,5.00,5,10.00
RWCP-SSD/drysrc/c3/cymbals/055.wav,カーン,5,5.00,5,10.00
RWCP-SSD/drysrc/c3/cymbals/071.wav,クワァン,5,5.00,5,10.00
RWCP-SSD/drysrc/c3/horn/051.wav,パープッ,5,5.00,7,10.00
RWCP-SSD/drysrc/c3/horn/070.wav,パープッ,5,5.00,7,10.00
RWCP-SSD/drysrc/c3/horn/075.wav,パープッ,5,5.00,7,10.00
RWCP-SSD/drysrc/c3/kara/026.wav,ティロティロティロティロリン,5,5.00,5,10.00
RWCP-SSD/drysrc/c3/maracas/087.wav,シャシャシャンッ,5,5.00,6,10.00
RWCP-SSD/drysrc/c3/ring/033.wav,カランカラン,5,5.00,5,10.00
